14:13:55.997 [MainThread] INFO    thonny.backend: Loading Jedi
14:13:55.997 [MainThread] INFO    thonny: TIME/MODS 0.000 Before loading Jedi 
14:13:55.997 [MainThread] INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\python310.zip', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\DLLs', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\lib', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\lib\\site-packages', 'C:\\Users\\lukas.jalcak\\Documents\\Tutorials\\100 Days of Code The Complete Python Pro Bootcamp for 2023\\Downloads\\thonny-4.1.1-windows-portable\\user_data\\plugins\\Python310\\site-packages']
14:13:56.115 [MainThread] INFO    thonny: TIME/MODS 0.118 After loading Jedi (+131 modules)
14:13:56.115 [MainThread] INFO    thonny: NEW MODS ['__future__', '_blake2', '_bz2', '_compat_pickle', '_compression', '_hashlib', '_json', '_lzma', '_pickle', '_socket', '_struct', 'binascii', 'bz2', 'difflib', 'filecmp', 'gc', 'hashlib', 'jedi', 'jedi._compatibility', 'jedi.api', 'jedi.api.classes', 'jedi.api.completion', 'jedi.api.completion_cache', 'jedi.api.environment', 'jedi.api.errors', 'jedi.api.exceptions', 'jedi.api.file_name', 'jedi.api.helpers', 'jedi.api.interpreter', 'jedi.api.keywords', 'jedi.api.project', 'jedi.api.refactoring', 'jedi.api.refactoring.extract', 'jedi.api.strings', 'jedi.cache', 'jedi.common', 'jedi.debug', 'jedi.file_io', 'jedi.inference', 'jedi.inference.analysis', 'jedi.inference.arguments', 'jedi.inference.base_value', 'jedi.inference.cache', 'jedi.inference.compiled', 'jedi.inference.compiled.access', 'jedi.inference.compiled.getattr_static', 'jedi.inference.compiled.mixed', 'jedi.inference.compiled.subprocess', 'jedi.inference.compiled.subprocess.functions', 'jedi.inference.compiled.value', 'jedi.inference.context', 'jedi.inference.docstring_utils', 'jedi.inference.docstrings', 'jedi.inference.filters', 'jedi.inference.flow_analysis', 'jedi.inference.gradual', 'jedi.inference.gradual.annotation', 'jedi.inference.gradual.base', 'jedi.inference.gradual.conversion', 'jedi.inference.gradual.generics', 'jedi.inference.gradual.stub_value', 'jedi.inference.gradual.type_var', 'jedi.inference.gradual.typeshed', 'jedi.inference.gradual.typing', 'jedi.inference.gradual.utils', 'jedi.inference.helpers', 'jedi.inference.imports', 'jedi.inference.lazy_value', 'jedi.inference.names', 'jedi.inference.param', 'jedi.inference.parser_cache', 'jedi.inference.recursion', 'jedi.inference.references', 'jedi.inference.signature', 'jedi.inference.syntax_tree', 'jedi.inference.sys_path', 'jedi.inference.utils', 'jedi.inference.value', 'jedi.inference.value.decorator', 'jedi.inference.value.dynamic_arrays', 'jedi.inference.value.function', 'jedi.inference.value.instance', 'jedi.inference.value.iterable', 'jedi.inference.value.klass', 'jedi.inference.value.module', 'jedi.parser_utils', 'jedi.plugins', 'jedi.plugins.django', 'jedi.plugins.flask', 'jedi.plugins.pytest', 'jedi.plugins.registry', 'jedi.plugins.stdlib', 'jedi.settings', 'json', 'json.decoder', 'json.encoder', 'json.scanner', 'lzma', 'math', 'parso', 'parso._compatibility', 'parso.cache', 'parso.file_io', 'parso.grammar', 'parso.normalizer', 'parso.parser', 'parso.pgen2', 'parso.pgen2.generator', 'parso.pgen2.grammar_parser', 'parso.python', 'parso.python.diff', 'parso.python.errors', 'parso.python.parser', 'parso.python.pep8', 'parso.python.prefix', 'parso.python.token', 'parso.python.tokenize', 'parso.python.tree', 'parso.tree', 'parso.utils', 'pickle', 'pydoc_data', 'pydoc_data.topics', 'select', 'selectors', 'shutil', 'socket', 'struct', 'textwrap', 'zipfile', 'zlib']
14:13:57.262 [MainThread] INFO    thonny: TIME/MODS 1.146 Sending message highlight_occurrences_response (+1 modules)
14:13:57.262 [MainThread] INFO    thonny: NEW MODS ['thonny.jedi_utils']
14:13:58.614 [MainThread] INFO    thonny: TIME/MODS 1.353 Sending message highlight_occurrences_response (+1 modules)
14:13:58.615 [MainThread] INFO    thonny: NEW MODS ['jedi.inference.finder']
14:14:00.553 [MainThread] INFO    thonny: TIME/MODS 1.938 Sending message highlight_occurrences_response 
14:14:00.876 [MainThread] INFO    thonny: TIME/MODS 0.323 Sending message highlight_occurrences_response 
14:14:02.160 [MainThread] INFO    thonny: TIME/MODS 1.285 Sending message highlight_occurrences_response 
14:14:08.557 [MainThread] INFO    thonny: TIME/MODS 6.396 Sending message highlight_occurrences_response 
14:14:37.091 [MainThread] INFO    thonny: TIME/MODS 28.535 Sending message highlight_occurrences_response 
